exchange,cal_date,is_open,pretrade_date
SSE,20161216,1,20161215
SSE,20161217,0,20161216
SSE,20161218,0,20161216
SSE,20161219,1,20161216
SSE,20161220,1,20161219
SSE,20161221,1,20161220
SSE,20161222,1,20161221
SSE,20161223,1,20161222
SSE,20161224,0,20161223
SSE,20161225,0,20161223
SSE,20161226,1,20161223
SSE,20161227,1,20161226
SSE,20161228,1,20161227
SSE,20161229,1,20161228
SSE,20161230,1,20161229
SSE,20161231,0,20161230
SSE,20170101,0,20161230
SSE,20170102,0,20161230
SSE,20170103,1,20161230
SSE,20170104,1,20170103
SSE,20170105,1,20170104
SSE,20170106,1,20170105
SSE,20170107,0,20170106
SSE,20170108,0,20170106
SSE,20170109,1,20170106
SSE,20170110,1,20170109
SSE,20170111,1,20170110
SSE,20170112,1,20170111
SSE,20170113,1,20170112
SSE,20170114,0,20170113
SSE,20170115,0,20170113
SSE,20170116,1,20170113
SSE,20170117,1,20170116
SSE,20170118,1,20170117
SSE,20170119,1,20170118
SSE,20170120,1,20170119
SSE,20170121,0,20170120
SSE,20170122,0,20170120
SSE,20170123,1,20170120
SSE,20170124,1,20170123
SSE,20170125,1,20170124
SSE,20170126,1,20170125
SSE,20170127,0,20170126
SSE,20170128,0,20170126
SSE,20170129,0,20170126
SSE,20170130,0,20170126
SSE,20170131,0,20170126
SSE,20170201,0,20170126
SSE,20170202,0,20170126
SSE,20170203,1,20170126
SSE,20170204,0,20170203
SSE,20170205,0,20170203
SSE,20170206,1,20170203
SSE,20170207,1,20170206
SSE,20170208,1,20170207
SSE,20170209,1,20170208
SSE,20170210,1,20170209
SSE,20170211,0,20170210
SSE,20170212,0,20170210
SSE,20170213,1,20170210
SSE,20170214,1,20170213
SSE,20170215,1,20170214
SSE,20170216,1,20170215
SSE,20170217,1,20170216
SSE,20170218,0,20170217
SSE,20170219,0,20170217
SSE,20170220,1,20170217
SSE,20170221,1,20170220
SSE,20170222,1,20170221
SSE,20170223,1,20170222
SSE,20170224,1,20170223
SSE,20170225,0,20170224
SSE,20170226,0,20170224
SSE,20170227,1,20170224
SSE,20170228,1,20170227
SSE,20170301,1,20170228
SSE,20170302,1,20170301
SSE,20170303,1,20170302
SSE,20170304,0,20170303
SSE,20170305,0,20170303
SSE,20170306,1,20170303
SSE,20170307,1,20170306
SSE,20170308,1,20170307
SSE,20170309,1,20170308
SSE,20170310,1,20170309
SSE,20170311,0,20170310
SSE,20170312,0,20170310
SSE,20170313,1,20170310
SSE,20170314,1,20170313
SSE,20170315,1,20170314
SSE,20170316,1,20170315
SSE,20170317,1,20170316
SSE,20170318,0,20170317
